Experiment,Intervener,Grammaticality,Attractor,question,1501077779,1501078388,1501088630,1501095345,1501099783
SSS,int,grammatical,SG,The busboy that worked with the server%2C by the way%2C probably is tired of the patrons that didn't tip well.,5,2,6,3,3
SPS,int,grammatical,PL,The truck that parked beside the motorcycles%2C to be honest%2C probably was refurbished by a mechanic without much training.,6,7,6,6,4
*SSP,int,ungrammatical,SG,The dog that puked next to the cat%2C in all honesty%2C probably were sick from the chocolate sitting on the counter.,1,4,2,2,2
*SPP,int,ungrammatical,PL,The orphan that slept near the windows%2C by the way%2C finally were placed with a family in a nearby town.,1,4,1,1,3
SSS,nonint,grammatical,SG,All kidding aside%2C the player that celebrated with the coach definitely was startled by the goal in the final minute.,6,7,6,2,4
SPS,nonint,grammatical,PL,With all due respect%2C the protest that started outside of the factories definitely is spilling into the streets of the town.,6,7,6,5,5
*SSP,nonint,ungrammatical,SG,By the way%2C the clown that arrived with the balloon supposedly were trained at a circus school in the south of France.,2,2,3,3,4
*SPP,nonint,ungrammatical,PL,To be honest%2C the scratch that ran across the windows probably were caused by the storm last night.,4,7,6,3,2
SSS,int,grammatical,SG,The letter that arrived for the prosecutor%2C all kidding aside%2C certainly was used in the trial of the investment banker.,6,6,5,1,5
SPS,int,grammatical,PL,The prisoner that snuck behind the guards%2C by the way%2C supposedly was captured across the border in a small town.,5,6,6,5,6
*SSP,int,ungrammatical,SG,The director that spoke with the volunteer%2C all kidding aside%2C clearly were critical of the committee for forgetting the meeting.,5,6,3,3,5
*SPP,int,ungrammatical,PL,The officer that trained with the soldiers%2C to be honest%2C always were angered by the recruits who forgot to make their beds.,3,7,4,1,2
SSS,nonint,grammatical,SG,To be fair%2C the publicist that stood behind the politician reportedly was nodding at every word in the speech.,7,7,6,4,6
SPS,nonint,grammatical,PL,By the way%2C the actor that fought with the producers supposedly was angry about the changes to the script.,7,7,6,2,4
*SSP,nonint,ungrammatical,SG,To be honest%2C the rabbit that hopped into the bush probably have eaten from the garden every night.,3,6,5,3,3
*SPP,nonint,ungrammatical,PL,By the way%2C the doctor that met with the patients probably have advised the old man to eat less sugar.,4,7,3,1,2
