participant_id,age,handedness,sex,question_id,answer,time_ms
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,81,Correct,1591
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,82,Correct,5504
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,83,Correct,1333
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,84,Correct,1543
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,85,Correct,1815
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,86,Correct,3059
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,87,Correct,1700
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,88,Correct,2745
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,89,Correct,3237
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,90,Correct,2911
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,91,Correct,1878
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,92,Correct,3796
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,93,Wrong,1168
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,94,Correct,2429
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,95,Correct,2189
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,96,Neither correct nor wrong,3171
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,97,Correct,1404
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,98,Correct,2698
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,99,Correct,1135
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,100,Correct,1008
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,101,Correct,2078
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,102,Correct,1256
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,103,Correct,3722
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,104,Correct,2063
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,105,Correct,1351
00e0b159cf5b9abcc73b92506d8b1c38,35,right,male,106,Correct,2081
