sound	utterance	word	trans	f1	f2	duration	step_time
a	u_1	агъь	лучший	--undefined--	--undefined--	0.221872	1.8489459588
a	u_1	агъь	лучший	--undefined--	--undefined--	0.221872	1.8589459588
a	u_1	агъь	лучший	--undefined--	--undefined--	0.221872	1.8689459588
a	u_1	агъь	лучший	889.7674274023	1590.5086400319	0.221872	1.8789459588
a	u_1	агъь	лучший	843.49346932	1633.5617648456	0.221872	1.8889459588
a	u_1	агъь	лучший	818.7729339451	1564.6333889964	0.221872	1.8989459588
a	u_1	агъь	лучший	816.9600527477	1531.1827840499	0.221872	1.9089459588
a	u_1	агъь	лучший	813.0405335705	1590.7494001556	0.221872	1.9189459588
a	u_1	агъь	лучший	822.3081838337	1611.2661904489	0.221872	1.9289459588
a	u_1	агъь	лучший	873.3225916456	1539.225007627	0.221872	1.9389459588
a	u_1	агъь	лучший	885.6923379613	1596.3864451331	0.221872	1.9489459588
a	u_1	агъь	лучший	853.8302608508	1578.0328706917	0.221872	1.9589459588
a	u_1	агъь	лучший	839.5751734943	1635.6028936556	0.221872	1.9689459588
a	u_1	агъь	лучший	844.8505157274	1676.3687295335	0.221872	1.9789459588
a	u_1	агъь	лучший	863.5040055907	1779.5609560229	0.221872	1.9889459588
a	u_1	агъь	лучший	845.8334269121	1806.5693245881	0.221872	1.9989459588
a	u_1	агъь	лучший	833.6433973539	1889.1124169906	0.221872	2.0089459588
a	u_1	агъь	лучший	841.650039624	1962.9941555154	0.221872	2.0189459588
a	u_1	агъь	лучший	880.9244382702	2033.8400435591	0.221872	2.0289459588
a	u_1	агъь	лучший	925.6545888106	1967.4052014159	0.221872	2.0389459588
a	u_1	агъь	лучший	--undefined--	--undefined--	0.221872	2.0489459588
a	u_1	агъь	лучший	--undefined--	--undefined--	0.221872	2.0589459588
a	u_1	агъь	лучший	--undefined--	--undefined--	0.221872	2.0689459588
a	u_2	агъь	лучший	--undefined--	--undefined--	0.2360340425	3.1628582427
a	u_2	агъь	лучший	--undefined--	--undefined--	0.2360340425	3.1728582427
a	u_2	агъь	лучший	--undefined--	--undefined--	0.2360340425	3.1828582427
a	u_2	агъь	лучший	969.8638674107	1513.0924831911	0.2360340425	3.1928582427
a	u_2	агъь	лучший	986.7947768101	1487.4791759823	0.2360340425	3.2028582427
