language,n_consonants,n_sibilants
Chukchi,14,1
Koryak,17,1
Alutor,18,1
Kerek,13,1
Itelmen,25,4
Itelmen,27,6
Central Siberian Yupik,21,3
Naukan Yupik,21,3
Sirenik Yupik,21,4
Abaza,59,20
Abaza,60,23
Adyghe,65,29
Adyghe,62,23
Adyghe,55,23
Adyghe,52,20
Kabardian,52,17
Kabardian,47,13
Russian,37,9
Udmurt,26,10
Udmurt,24,8
Northern Mansi,17,2
Komi-Yazva,26,10
Obdorsk Khanty,18,2
Veps,34,9
Votic,21,7
Ingrian,20,6
Karelian,33,8
Kildin Sami,99,21
Moksha,33,9
Western Mari,22,6
Ossetian,28,8
Erzya,28,9
Komi-Permyak,26,10
Komi-Zyrian,26,10
Tundra Nenets,28,4
Forest Enets,25,5
Nganasan,22,2
Selkup,16,3
Mator-Taigi-Karagas,13,2
Khakas,18,4
Shor,20,5
Bashkir,26,5
Tatar,27,7
Southern Altai,20,6
Northern Altai,20,6
Sayan Turkic,22,6
Tuvinian,22,6
Chuvash,16,3
Sakha,20,3
Nogai,22,5
Dolgan,20,3
Kara-Kalpak,26,7
Kara-Kalpak,26,7
Karachay-Balkar,24,7
Karachay-Balkar,22,4
Kumyk,23,6
