Glottocode,LanguageName,Source,consonant,tone,vowel
aari1239,Aari,gm,26,0,10
abar1238,Mungbam,gm,24,4,8
abau1245,Abau,ph,9,0,5
abid1235,abidji,aa,21,0,18
abid1235,Abidji,gm,21,2,15
abip1241,Abipon,saphon,13,0,10
abip1241,ABIPON,upsid,15,0,5
abis1238,Aʔɨwa,saphon,17,0,10
abkh1244,Abkhaz,ea,126,0,6
abua1244,Abua,gm,27,3,10
abuj1237,Abujmaria,ra,22,0,17
abur1243,Abure,gm,20,4,14
acat1239,TLAPANEC,upsid,20,0,10
acha1249,Achang,ea,36,0,23
acha1250,Achagua,saphon,19,0,10
ache1245,Asharon,gm,18,0,20
ache1246,ACHE,upsid,11,0,10
ache1246,Aché,saphon,22,0,12
achi1257,Acehnese,ph,21,0,34
achu1247,ACHUMAWI,upsid,17,0,6
achu1248,Achuar-Shiwiar,saphon,15,0,12
acol1236,Acholi,gm,17,3,9
adam1253,Adamawa Fulfulde; Adamawa Fulani,ph,27,0,9
adam1253,fulfulde,aa,24,0,10
adam1253,Fulfulde (Cameroon),gm,37,0,10
adam1253,fulfulde (fuunaangere),gm,29,0,10
adan1247,dangme,aa,23,4,12
adan1251,Adang,ph,18,0,22
adio1239,adioukrou,aa,21,3,7
adio1239,Adioukrou,gm,21,4,7
adny1235,Adnyamathanha,er,24,0,3
adyg1241,Adyghe,ea,56,0,3
adze1240,Adzera,spa,18,0,7
adze1240,ADZERA,upsid,18,0,7
afad1236,KOTOKO,upsid,27,0,9
afar1241,Afar,gm,17,0,10
afit1238,Afitti,gm,17,3,6
afri1274,Afrikaans,gm,16,0,23
aghe1239,Aghem,gm,28,2,19
aghe1239,AGHEM,upsid,25,0,10
aghu1254,Aghu Tharnggala,er,20,0,7
agua1253,Aguaruna,saphon,12,0,8
ahan1243,Ahanta,gm,24,2,14
ahan1244,Ahaan,gm,26,3,14
aheu1239,Aheu; Thavung,ph,20,4,23
aheu1239,So,ph,22,0,50
ahte1237,AHTNA,upsid,30,0,5
aika1237,Aikanã,saphon,15,0,10
aika1237,HUARI,upsid,22,0,10
ainu1240,Ainu,spa,12,0,5
ainu1240,AINU,upsid,11,0,5
ajab1235,adja,aa,51,5,26
ajas1235,aja,gm,38,0,10
ajyi1238,Ashéninka,saphon,20,0,6
akan1250,akan,aa,18,4,9
akan1250,Akan,gm,28,2,30
akan1250,Akan,spa,22,3,15
akan1250,AKAN,upsid,21,0,14
akas1242,Akasilimi,gm,20,3,29
akaw1239,AKAWAIO,upsid,13,0,10
akaw1239,Ingarikó,saphon,10,0,11
akha1245,Akha,ea,34,0,23
akha1245,Akha,ph,28,3,13
akla1241,Aklan,ph,17,0,3
akoo1248,Akoose,gm,18,2,12
akoo1248,akɔɔse,aa,22,4,18
akpe1248,Akpes,gm,21,3,10
akun1241,Akuntsú,saphon,11,0,11
akur1238,Akurio,saphon,10,0,14
alab1237,Alabama,spa,15,0,6
alab1237,ALABAMA,upsid,14,0,3
alab1254,Alaaba,gm,52,0,10
alam1246,ALAMBLAK,upsid,18,0,7
alaw1244,Alawa,er,22,0,4
alaw1244,Alawa,spa,23,0,5
alaw1244,ALAWA,upsid,22,0,4
aleu1260,Aleut,spa,30,0,6
aleu1260,ALEUT,upsid,24,0,3
alla1248,Alladian,gm,23,2,11
alla1248,ALLADIAN,upsid,25,0,11
alng1239,Alngith,er,24,0,4
alut1245,Alutor,ea,18,0,9
alya1239,Alyawarr,er,40,0,3
alya1239,Alyawarra,ph,25,0,7
amah1246,Amahuaca,saphon,15,0,8
amah1246,Amahuaca,spa,14,0,8
amah1246,AMAHUACA,upsid,14,0,8
aman1265,Amanab,ph,14,0,5
amar1271,Amurdak,er,21,0,3
amar1274,Amarakaeri,saphon,15,0,18
amas1236,NYIMANG,upsid,18,0,7
ambe1247,Ambele,ph,38,3,10
ambo1250,Ambon Malay,gm,18,0,5
ambu1247,Abulas,ph,17,0,7
amdo1237,gSerpa,ea,48,0,10
amdo1237,Khalong Tibetan,ea,53,0,6
amdo1237,Themchen Tibetan,ea,43,0,6
amel1241,AMELE,upsid,15,0,5
amha1245,Amharic,spa,52,0,7
amha1245,Amharic,uz,61,0,7
amha1245,AMHARIC,upsid,30,0,7
amii1238,Emmi,er,27,0,5
amoo1242,AMO,upsid,25,0,10
amun1246,Amundava,saphon,14,0,12
ande1247,Antekerrepenhe,er,40,0,4
andi1255,Andi,ea,63,0,5
ando1255,Andoa,saphon,15,0,10
ando1256,Andoke,saphon,11,0,24
ando1256,ANDOKE,upsid,11,0,15
anei1239,Aneityum; Anejom̃,ph,21,0,5
anfi1235,Anfillo,gm,38,0,10
anga1288,Angami,ra,38,5,6
anga1290,ANGAATIHA,upsid,12,0,9
angg1238,Angkamuthi,er,18,0,6
ango1258,Angolar,gm,22,2,12
angu1242,Anguthimri,er,19,0,17
anii1245,Anii,gm,23,2,11
anin1240,Anindilyakwa,er,22,0,4
anta1253,Antakirinya,er,17,0,6
anta1253,Western Desert,spa,17,0,6
anta1253,WESTERN DESERT,upsid,17,0,3
anti1245,Antiguan Creole,ph,24,0,13
anua1242,Anywa,ph,19,4,24
anuf1239,anufɔ,aa,22,2,19
anuf1239,anufɔ,gm,45,2,12
anyi1244,Agni Morofo,gm,31,4,14
anyi1244,agni sanvi,aa,21,0,16
anyi1245,Agni Djuablin,gm,17,5,14
anyi1245,Anyi,gm,21,4,14
anyi1245,Anyi Sanvi,gm,19,5,16
aona1235,AO,upsid,14,0,6
aona1235,Ao-Naga,ra,24,3,8
apal1257,Apalaí,saphon,12,0,12
apat1240,Apatani,ra,24,3,13
apia1248,Apiaká,saphon,12,0,10
apin1244,Apinaye,spa,14,0,35
apin1244,APINAYE,upsid,13,0,17
apin1244,Apinayé,saphon,17,0,17
apro1235,AIZI,upsid,24,0,9
apuc1241,Andamanese,ra,25,0,10
apuc1241,ANDAMANESE,upsid,16,0,8
apur1254,Apurinã,ph,14,0,26
apur1254,Apurinã,saphon,14,0,20
arab1267,Arabana,er,21,0,3
arab1268,Arabela,saphon,19,0,10
arab1268,ARABELA,upsid,11,0,7
arag1245,Aragonese,ea,20,0,7
arag1245,Aragonese,ph,20,0,25
aran1237,Arandai,ph,13,0,5
arao1248,Araona,saphon,19,0,4
araw1273,Araweté,saphon,12,0,9
araw1276,Lokono,saphon,16,0,5
arbe1236,Arbëresh Albanian,ea,60,0,13
arbo1245,Arbore,gm,49,0,10
arch1244,ARCHI,upsid,81,0,10
argo1244,Argobba,gm,30,0,8
arhu1242,Ika,ph,16,0,16
arhu1242,Ika,saphon,15,0,6
arik1265,Arikapú,saphon,11,0,14
arin1244,Aringa,gm,35,5,9
arit1239,Aritinngithigh,er,17,0,5
asha1243,Asháninka,saphon,14,0,8
asha1243,Campa,spa,17,0,4
asha1243,CAMPA,upsid,15,0,4
ashe1269,Tinɔr,gm,24,3,9
ashe1272,Ashéninka,saphon,18,0,10
assa1263,Assamese,ea,22,0,14
assa1263,Assamese,ra,22,0,15
assa1263,Assamese,uz,23,0,10
astu1245,Asturian,ea,39,0,14
atam1239,Atampaya,er,18,0,8
atam1239,Uradhi,er,18,0,4
atay1247,Atayal,ea,18,0,6
atay1247,Atayal,spa,19,0,8
atay1247,ATAYAL,upsid,19,0,7
atti1239,Attie,gm,24,8,15
auuu1241,Au,ph,10,0,7
avac1239,Avá-Canoeiro,saphon,12,0,12
avar1256,Avar,ea,59,0,5
avar1256,AVAR,upsid,44,0,5
avat1244,Avatime,gm,28,4,18
avik1243,Avikam,gm,25,3,6
avok1242,avokaya,aa,37,4,14
awab1243,Awabakal,er,13,0,3
awac1239,Awa Pit,ph,14,0,7
awac1239,Awa-Cuaiquer,saphon,16,0,10
awad1243,Awadhi,ra,37,0,8
awar1248,Awara,ph,19,0,6
awet1244,Awetí,saphon,14,0,12
awin1248,Awing,ph,39,0,17
awiy1238,Auyana,spa,11,3,6
awng1244,Awiya,spa,28,4,7
awng1244,AWIYA,upsid,28,0,7
awng1244,Awngi,gm,30,3,6
awtu1239,Awtuw,ph,11,0,7
axiy1235,Ahi,ea,38,0,14
ayab1239,Ayapathu,er,15,0,10
ayab1239,Yintyingka,er,16,0,10
ayac1239,Ayacucho Quechua,saphon,14,0,3
ayer1245,Uwu,gm,26,3,14
ayer1246,Ayerrerenge,er,39,0,4
ayor1240,Ayoreo,saphon,20,0,10
baan1242,kambari,aa,28,1,27
baat1238,bariba,aa,17,2,12
baat1238,BARIBA,upsid,18,0,12
baba1264,Baba,ph,23,0,7
baba1266,Babanki,ph,26,0,7
bada1257,Badaga,ra,25,0,13
bade1248,Bade,gm,33,4,9
badi1246,Badimaya,er,20,0,3
bady1239,Pajade,gm,25,0,18
bafa1247,Bafo,ph,27,4,16
bafa1249,Nchufie,gm,26,3,30
bafi1243,Bafia,gm,27,4,20
bafi1243,kpaʔ,gm,25,5,18
bafu1246,bafut,aa,21,10,18
baga1272,Baga Sitem,ph,18,0,8
baga1273,Baga Koga; Koba; Barka,ph,17,0,8
bagi1246,Bagirmi,gm,29,3,16
baim1244,Baima,ea,40,0,26
baka1272,baka,aa,25,6,7
baka1272,Baka,gm,25,3,7
baka1273,Bakaka (Babong),gm,15,2,14
baka1273,Bakaka (Mkaa'),gm,16,2,14
baka1273,Bakaka (Mwaneka),gm,19,2,13
baka1274,baka,gm,36,0,10
baka1277,BAKAIRI,upsid,17,0,12
baka1277,Bakairí,saphon,32,0,26
bakh1245,Bakhtiari,ea,24,0,12
bako1249,Bakoko,ph,26,0,7
bako1250,Kole,ph,27,0,7
bala1302,Balante,gm,33,3,14
bali1278,Balinese,gm,18,0,6
balt1258,Balti,ea,35,0,5
balt1258,Balti,ra,35,0,18
bamb1262,Northern Mao,gm,23,3,10
