LanguageName,ejective,non_ejective,total,have_ejectives,is.gl
Aari,2,24,26,TRUE,TRUE
Abau,0,9,9,FALSE,TRUE
abidji,0,21,21,FALSE,TRUE
Abidji,0,21,21,FALSE,TRUE
Abipon,0,13,13,FALSE,TRUE
ABIPON,0,15,15,FALSE,TRUE
Abua,0,27,27,FALSE,TRUE
Abure,0,20,20,FALSE,TRUE
Achagua,0,19,19,FALSE,TRUE
Achuar-Shiwiar,0,15,15,FALSE,TRUE
ACHUMAWI,0,17,17,FALSE,TRUE
Adang,0,18,18,FALSE,TRUE
adioukrou,0,21,21,FALSE,TRUE
Adioukrou,0,21,21,FALSE,TRUE
Adzera,0,18,18,FALSE,TRUE
ADZERA,0,18,18,FALSE,TRUE
Afar,0,17,17,FALSE,TRUE
Afitti,0,17,17,FALSE,TRUE
Afrikaans,0,16,16,FALSE,TRUE
Aghem,0,28,28,FALSE,TRUE
AGHEM,0,25,25,FALSE,TRUE
Aguaruna,0,12,12,FALSE,TRUE
Ahanta,0,24,24,FALSE,TRUE
Ajumbu,0,26,26,FALSE,TRUE
akan,0,18,18,FALSE,TRUE
Akan,0,50,50,FALSE,TRUE
AKAN,0,21,21,FALSE,TRUE
AKAWAIO,0,13,13,FALSE,TRUE
Akha,0,28,28,FALSE,TRUE
Akoose,0,18,18,FALSE,TRUE
Akpes,0,21,21,FALSE,TRUE
Akurio,0,10,10,FALSE,TRUE
Alabama,0,15,15,FALSE,TRUE
ALABAMA,0,14,14,FALSE,TRUE
ALAMBLAK,0,18,18,FALSE,TRUE
Alawa,0,23,23,FALSE,TRUE
ALAWA,0,22,22,FALSE,TRUE
Aleut,0,30,30,FALSE,TRUE
ALEUT,0,24,24,FALSE,TRUE
Alladian,0,23,23,FALSE,TRUE
ALLADIAN,0,25,25,FALSE,TRUE
Amahuaca,0,29,29,FALSE,TRUE
AMAHUACA,0,14,14,FALSE,TRUE
Amanab,0,14,14,FALSE,TRUE
Amarakaeri,0,15,15,FALSE,TRUE
Ambele,0,38,38,FALSE,TRUE
AMELE,0,15,15,FALSE,TRUE
Amharic,10,42,52,TRUE,TRUE
AMHARIC,5,25,30,TRUE,TRUE
AMO,0,25,25,FALSE,TRUE
Amundava,0,14,14,FALSE,TRUE
Andoa,0,15,15,FALSE,TRUE
Anfillo,9,29,38,TRUE,TRUE
Angolar,0,22,22,FALSE,TRUE
Anii,0,23,23,FALSE,TRUE
Apatani,0,24,24,FALSE,TRUE
Apinaye,0,14,14,FALSE,TRUE
APINAYE,0,13,13,FALSE,TRUE
Arabela,0,19,19,FALSE,TRUE
ARABELA,0,11,11,FALSE,TRUE
Aragonese,0,33,33,FALSE,TRUE
Arandai,0,13,13,FALSE,TRUE
Araona,0,19,19,FALSE,TRUE
Arbore,6,43,49,TRUE,TRUE
ARCHI,17,64,81,TRUE,TRUE
Argobba,5,25,30,TRUE,TRUE
