prep	case	lang
na	acc	pol
na	acc	pol
na	acc	pol
na	acc	pol
na	acc	pol
na	acc	pol
na	acc	pol
na	acc	pol
na	acc	pol
na	acc	pol
na	acc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
na	loc	pol
w	acc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
w	loc	pol
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
na	acc	rus
